1,Patrick Mahomes II,QB,25.3,429.4
2,Josh Allen,QB,24.2,412.2
3,Jalen Hurts,QB,25.6,384
4,Austin Ekeler,RB,21.9,372.7
5,Joe Burrow,QB,21.7,369
6,Justin Jefferson,WR,21.7,368.7
7,Christian McCaffrey,RB,21,356.4
8,Tyreek Hill,WR,20.1,341.2
9,Davante Adams,WR,19.7,335.5
10,Josh Jacobs,RB,19.3,328.3
11,Stefon Diggs,WR,18.9,321.2
12,Travis Kelce,TE,18.6,316.3
13,Geno Smith,QB,18.5,314.9
14,Justin Fields,QB,20.5,307
15,Kirk Cousins,QB,18,305.6
16,Trevor Lawrence,QB,17.9,303.6
17,Derrick Henry,RB,18.9,302.8
18,CeeDee Lamb,WR,17.7,301.6
19,A.J. Brown,WR,17.6,299.6
20,Daniel Jones,QB,18.4,294
21,Jared Goff,QB,17.1,291.3
22,Justin Herbert,QB,17.1,291.3
23,Saquon Barkley,RB,17.8,284
24,Nick Chubb,RB,16.6,281.4
25,Tom Brady,QB,16.5,280.7
26,Amon-Ra St. Brown,WR,16.7,267.6
27,Jaylen Waddle,WR,15.2,259.2
28,DeVonta Smith,WR,15,254.6
29,Aaron Rodgers,QB,14.8,251.2
30,Rhamondre Stevenson,RB,14.7,249.1
31,Tony Pollard,RB,15.6,248.8
32,Aaron Jones,RB,14.6,248.6
33,Amari Cooper,WR,14.5,247
34,Lamar Jackson,QB,20.3,243.1
35,Ja'Marr Chase,WR,18.6,242.4
36,Christian Kirk,WR,14.2,241.9
37,Joe Mixon,RB,16,240.7
38,Tua Tagovailoa,QB,18.4,238.9
39,Dalvin Cook,RB,14,237.8
40,Tyler Lockett,WR,14.8,237.3
41,Russell Wilson,QB,15.8,236.8
42,Derek Carr,QB,15.5,233.1
43,Terry McLaurin,WR,13.5,229
44,Brandon Aiyuk,WR,13.4,227.8
45,Leonard Fournette,RB,14.2,227.1
46,DK Metcalf,WR,13.3,226.8
47,Jamaal Williams,RB,13.3,225.9
48,Mike Evans,WR,15,225.4
49,Najee Harris,RB,13.1,223.5
50,Tee Higgins,WR,14.9,223.2
51,Chris Godwin,WR,14.9,222.8
52,Miles Sanders,RB,12.7,216.7
53,Michael Pittman Jr.,WR,13.5,216.5
54,Garrett Wilson,WR,12.7,215.7
55,T.J. Hockenson,TE,12.7,215.4
56,Dak Prescott,QB,17.8,213.6
57,Alvin Kamara,RB,14.1,211.7
58,Kyler Murray,QB,18.9,207.5
59,Marcus Mariota,QB,15.8,205.6
60,Travis Etienne Jr.,RB,12.1,205.1
61,Jerry Jeudy,WR,13.6,204.2
62,Kenneth Walker III,RB,13.5,202.5
63,Cooper Kupp,WR,22.4,201.4
64,George Kittle,TE,13.4,200.5
65,James Conner,RB,15.4,200.2
66,DJ Moore,WR,11.7,199.1
67,Chris Olave,WR,13.2,198.2
68,Zay Jones,WR,12.4,198.1
69,Davis Mills,QB,13.1,196.5
70,Jerick McKinnon,RB,11.5,196.3
71,D'Andre Swift,RB,13.7,191.1
72,Mark Andrews,TE,12.7,190.5
73,New England Patriots,DST,10.9,186
74,Ezekiel Elliott,RB,12.4,185.8
75,JuJu Smith-Schuster,WR,11.6,185.3
