1,Jonathan Taylor,RB,1,1,1,1
2,Christian McCaffrey,RB,2,2,2,2
3,Austin Ekeler,RB,4,3,4,3.7
4,Cooper Kupp,WR,5,5,3,4.3
5,Derrick Henry,RB,3,8,5,5.3
6,Justin Jefferson,WR,6,4,6,5.3
7,Najee Harris,RB,8,6,8,7.3
8,Dalvin Cook,RB,7,7,9,7.7
9,Ja'Marr Chase,WR,9,9,7,8.3
10,Joe Mixon,RB,10,10,12,10.7
11,Davante Adams,WR,11,15,11,12.3
12,Alvin Kamara,RB,15,13,10,12.7
13,Stefon Diggs,WR,12,14,13,13
14,D'Andre Swift,RB,14,11,15,13.3
15,Travis Kelce,TE,13,17,17,15.7
16,Deebo Samuel,WR,21,20,14,18.3
17,Saquon Barkley,RB,19,12,26,19
18,CeeDee Lamb,WR,18,21,19,19.3
19,Tyreek Hill,WR,20,23,16,19.7
20,Aaron Jones,RB,17,22,21,20
21,Nick Chubb,RB,16,18,28,20.7
22,Leonard Fournette,RB,25,19,18,20.7
23,Javonte Williams,RB,24,16,23,21
24,Josh Allen,QB,22,24,22,22.7
25,Mark Andrews,TE,23,25,20,22.7
26,Mike Evans,WR,26,28,27,27
27,James Conner,RB,31,26,25,27.3
28,Keenan Allen,WR,27,33,24,28
29,A.J. Brown,WR,28,30,34,30.7
30,Ezekiel Elliott,RB,29,27,38,31.3
31,Michael Pittman Jr.,WR,35,29,31,31.7
32,Patrick Mahomes II,QB,32,35,29,32
33,Kyle Pitts,TE,30,32,35,32.3
34,Tee Higgins,WR,33,36,30,33
35,Cam Akers,RB,37,37,33,35.7
36,Justin Herbert,QB,34,38,36,36
37,David Montgomery,RB,40,34,39,37.7
38,D.J. Moore,WR,42,39,32,37.7
39,Travis Etienne Jr.,RB,39,31,47,39
40,Terry McLaurin,WR,38,47,37,40.7
41,George Kittle,TE,36,48,41,41.7
42,Diontae Johnson,WR,43,46,42,43.7
43,Mike Williams,WR,50,44,40,44.7
44,Breece Hall,RB,46,45,46,45.7
45,Lamar Jackson,QB,45,52,43,46.7
46,Darren Waller,TE,41,51,48,46.7
47,Courtland Sutton,WR,48,42,52,47.3
48,Jaylen Waddle,WR,44,58,44,48.7
49,Josh Jacobs,RB,49,49,53,50.3
50,DK Metcalf,WR,47,60,45,50.7
51,J.K. Dobbins,RB,53,50,55,52.7
52,Elijah Mitchell,RB,58,41,63,54
53,Brandin Cooks,WR,61,57,49,55.7
54,Kyler Murray,QB,55,66,51,57.3
55,Jalen Hurts,QB,64,54,57,58.3
56,Dalton Schultz,TE,54,63,58,58.3
57,Marquise Brown,WR,59,64,54,59
58,Amon-Ra St. Brown,WR,68,56,56,60
59,Jerry Jeudy,WR,51,79,50,60
60,Gabriel Davis,WR,75,53,59,62.3
61,Allen Robinson II,WR,57,62,69,62.7
62,Chris Godwin,WR,65,68,60,64.3
63,Darnell Mooney,WR,73,59,62,64.7
64,Joe Burrow,QB,52,69,75,65.3
65,Clyde Edwards-Helaire,RB,67,71,61,66.3
66,Antonio Gibson,RB,56,61,84,67
67,AJ Dillon,RB,63,43,98,68
68,T.J. Hockenson,TE,62,77,65,68
69,Michael Thomas,WR,66,73,72,70.3
70,JuJu Smith-Schuster,WR,70,75,67,70.7
71,Amari Cooper,WR,60,82,70,70.7
72,Adam Thielen,WR,69,74,71,71.3
73,Dameon Pierce,RB,98,40,81,73
74,Tom Brady,QB,74,84,64,74
75,Devin Singletary,RB,90,72,66,76
76,Dallas Goedert,TE,72,83,78,77.7
77,Miles Sanders,RB,77,81,76,78
78,Rashod Bateman,WR,76,78,82,78.7
79,Russell Wilson,QB,71,89,77,79
80,Chase Edmonds,RB,87,55,97,79.7
81,Kareem Hunt,RB,80,80,80,80
82,Cordarrelle Patterson,RB,81,76,87,81.3
83,Tony Pollard,RB,83,70,92,81.7
84,Hunter Renfrow,WR,82,95,73,83.3
85,Damien Harris,RB,79,85,91,85
86,Dak Prescott,QB,91,91,74,85.3
87,Aaron Rodgers,QB,89,101,68,86
88,Rhamondre Stevenson,RB,102,67,90,86.3
89,DeAndre Hopkins,WR,78,88,99,88.3
90,DeVonta Smith,WR,86,94,85,88.3
91,Rashaad Penny,RB,95,65,106,88.7
92,Zach Ertz,TE,84,100,86,90
93,Elijah Moore,WR,92,86,93,90.3
94,Allen Lazard,WR,93,87,95,91.7
95,Christian Kirk,WR,106,90,83,93
96,Drake London,WR,88,99,96,94.3
97,Dawson Knox,TE,85,103,105,97.7
98,Brandon Aiyuk,WR,97,97,102,98.7
99,Tyler Lockett,WR,99,114,88,100.3
100,Matthew Stafford,QB,100,108,94,100.7
